id,original_query,en_query,faithfulness_score,answer_correctness_score,context_relevance_score
1,දරුවෙකු තාත්තා ගැනීම සඳහා උපරිම වයස කීයද?,What's the maximum age for adopting a child?,5,5,5
2,දරුවෙකු තාත්තා ගැනීමට අයදුම්කරුවෙකුට තිබිය යුතු මූලික සුදුසුකම් මොනවාද?,What are the basic qualifications an applicant must have to take a child as a father?,5,5,3
3,තාත්තා ගත් දරුවාගේ උපත නැවත ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලේඛන මොනවාද?,What documentation is required to re-register the birth of the father's child?,5,5,2
4,ලියාපදිංචි කර ඇති වතුයෙහි උපන් දරුවෙකුගේ උපත කවුද දැනුම් දිය හැක්කේ?,Who can declare the birth of a child born on the registered stem?,5,5,5
5,වතුපිළිඹඳ උපන් සහතිකය ලබා ගත හැක්කේ කොතැනින්ද?,Where can I get a butterfly birth certificate?,5,5,1
6,ශ්‍රී ලංකාවේ විදේශ උපතක් පසුකාලීනව ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,What documentation is required to register a Sri Lankan foreign product retroactively?,5,5,1
7,උපන් සහතිකයක නකලක් ලබා ගත හැක්කේ කොහෙදිද?,Where can I get a birthday certificate?,4,4,4
8,උපන් සහතිකයේ අංකය සහ ලියාපදිංචි දිනය නොදැන සිටින විට නකලක් ලබා ගැනීම සඳහා ගාස්තුව කීයද?,How much does it cost to get a ticket without knowing the number of the birth certificate and the date of registration?,5,5,5
9,තැපැල් මගින් උපන් සහතිකය ලබා ගැනීමට අවශ්‍ය ලේඛන මොනවාද?,What documents do you need to get your birth certificate by mail?,5,5,2
10,උපන් සහතිකයේ පරිවර්තිත පිටපතක් ලබා ගැනීමට හැකි ස්ථාන මොනවාද?,What are the locations where you can get an evolutionary copy of your birth certificate?,5,5,2
11,උපන් සහතික පරිවර්තනයකට ගාස්තුව සහ කාලය කීයද?,What's the fee and time for the birth certificate translation?,5,5,5
12,ගෙදර උපතක් වූවිට එය ලියාපදිංචි කිරීමේ ක්‍රමවේදය කුමක්ද?,What's the procedure for registering it when it's born at home?,5,5,5
13,උපත ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,What documents do you need to register your birth?,5,5,5
14,උපත 3 මාසයකට පසුව ලියාපදිංචි කළ හැකිද?,Can I register after 3 months of birth?,5,5,5
15,අතුරු උපතක් ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,What documents do you need to register the side effect?,5,5,1
