id,question,answer
1,දරුවෙකු තාත්තා ගැනීම සඳහා උපරිම වයස කීයද?,තාත්තා ගන්නා දරුවාගේ වයස අවුරුදු 14 ට වඩා වැඩි නොවිය යුතුය.
2,දරුවෙකු තාත්තා ගැනීමට අයදුම්කරුවෙකුට තිබිය යුතු මූලික සුදුසුකම් මොනවාද?,අයදුම්කරු වයස අවුරුදු 25 ඉක්මවා තිබිය යුතු අතර, දරුවා සහ අයදුම්කරු අතර අවම වයස් වෙනසක් ලෙස අවුරුදු 21 ක් තිබිය යුතුය.
3,තාත්තා ගත් දරුවාගේ උපත නැවත ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලේඛන මොනවාද?,"අයදුම්පත (B149), දෙමාපියන්ගේ විවාහ සහතිකය, දෙමාපියන්ගේ උපන් සහතික සහ දරුවා සඳහා පෙර ලියාපදිංචි කර ඇති උපන් සහතිකය හෝ එවැනි ලියාපදිංචියක් නොමැති නම් හිස් ප්‍රතිඵල ලියාපදිංචි පොත."
4,ලියාපදිංචි කර ඇති වතුයෙහි උපන් දරුවෙකුගේ උපත කවුද දැනුම් දිය හැක්කේ?,"පියයා, මව, උපත සිදුවන විට සහභාගී වූ පුද්ගලයින් සහ අනුධාරකයන් විසින් උපත දැනුම් දිය හැක."
5,වතුපිළිඹඳ උපන් සහතිකය ලබා ගත හැක්කේ කොතැනින්ද?,"උපත ලියාපදිංචි කිරීමෙන් පසුව, එය වතුපති වෙත යොමු කරනු ලබයි, එමෙන්ම දැනුම්දීම කළ පුද්ගලයාට එය නොමිලේ ලබා ගත හැක."
6,ශ්‍රී ලංකාවේ විදේශ උපතක් පසුකාලීනව ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"නිසි පරිදි පුරවා ඇති ප්‍රකාශය, උපන් රටේ උපන් සහතිකය හෝ රෝහල් වාර්තාව, දෙමාපියන්ගේ විවාහ සහතිකය හා උපන් සහතික, මව භාවිත කළ පැස්පෝර්ට් සහ වීසා, විදේශික පුරවැසියන්ගේ සහතිකය ඇතුළත් ලේඛන යොමු කළ යුතුය."
7,උපන් සහතිකයක නකලක් ලබා ගත හැක්කේ කොහෙදිද?,"උපත සිදුවූ දිස්ත්‍රික් ලේකම් කාර්යාලයෙන් හෝ එය මින්හින් පද්ධතියේ (eBMD) ඇත්නම් ඔබට ලඟම ඇති දිස්ත්‍රික් ලේකම් කාර්යාලයකින් ලබා ගත හැක."
8,උපන් සහතිකයේ අංකය සහ ලියාපදිංචි දිනය නොදැන සිටින විට නකලක් ලබා ගැනීම සඳහා ගාස්තුව කීයද?,"ලියපදිංචි දිනය සහ සහතික අංකය නොදන්නා විට, ලියවිලි සෙවීම අවශ්‍ය බැවින්, එක් නකලකට ගාස්තුව රු.250.00 වේ."
9,තැපැල් මගින් උපන් සහතිකය ලබා ගැනීමට අවශ්‍ය ලේඛන මොනවාද?,"තම ලිපින සහ මුද්‍රාකිත තැපැල් අච්චුවක්, අයදුම්පතක් සහ ගාස්තු ගෙවීමේ රිසිට්පතක් යොමු කළ යුතුය."
10,උපන් සහතිකයේ පරිවර්තිත පිටපතක් ලබා ගැනීමට හැකි ස්ථාන මොනවාද?,"පරිවර්තකයින් පවතින කලාපීය කාර්යාල හරහා හෝ දෙපාර්තමේන්තුවේ වෙබ් අඩවියෙන් ලබා ගත හැක. ලබා ගත හැකි පරිවර්තන: සිංහල-ඉංග්‍රීසි, ඉංග්‍රීසි-සිංහල, දෙමළ-ඉංග්‍රීසි, ඉංග්‍රීසි-දෙමළ."
11,උපන් සහතික පරිවර්තනයකට ගාස්තුව සහ කාලය කීයද?,"එක් පරිවර්තනයකට රු.600.00 ගාස්තුවක් තිබේ. එය ලබා ගත හැක්කේ දින 5 ක් ඇතුළත වන අතර, එක්දින සේවාව ලබා දිය නොහැක."
12,ගෙදර උපතක් වූවිට එය ලියාපදිංචි කිරීමේ ක්‍රමවේදය කුමක්ද?,"උපත සිදුවූ දිනයේ සිට 7 දින ඇතුලත එම උපත ග්‍රාම නිලධාරී에게 දැනුම් දිය යුතුය. උපත සිදුවූ ස්ථානයේ උපන් සහ මරණ ලියාපදිංචි කිරීමේ ලේකම් කාර්යාලයේ ලියාපදිංචි කෙරේ."
13,උපත ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"පුරවා ඇති CR01 ලියාපදිංචි පෝරමය, දෙමාපියන්ගේ විවාහ සහතිකයේ ප්‍රතිකාරනපූර්ව පිටපත, දෙමාපියන්ගේ උපන් සහතිකයන් පිටපත්, ජාතික හැඳුනුම් පත පිටපත යොමු කළ යුතුය."
14,උපත 3 මාසයකට පසුව ලියාපදිංචි කළ හැකිද?,"උපත 3 මාසයක පසුව ලියාපදිංචි කළ හැක, එවිට ඒ සඳහා පසුගිය උපත ලියාපදිංචි කිරීමේ සහතිකය භාවිතා කළ යුතුය."
15,අතුරු උපතක් ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"දෙමාපියන් විවාහ වී නම්, විවාහ සහතිකය හා, උපත සහ උපත වූ ස්ථානය සනාථ කරන ලේඛන (සෞඛ්‍ය සේවා මෑණියන්ගේ සහතිකය, බප්තිස්ම සහතිකය, පාසල් නම ලියාපදිංචි කිරීමේ දත්ත පත්‍රය) පිටපත් ඉදිරිපත් කළ යුතුය."
