id,question,answer
1,ஒரு குழந்தையை தத்தெடுக்க தேவைப்பட்டால் தத்தெடுக்கக்கூடிய குழந்தையின் அதிகபட்ச வயது என்ன?,"தத்தெடுக்கப்படும் குழந்தையின் வயது 14 ஆண்டுகளை மீறக்கூடாது."
2,ஒரு குழந்தையை தத்தெடுக்க விண்ணப்பிக்கக் கூடிய நபருக்கான அடிப்படை தகுதிகள் என்ன?,"விண்ணப்பதாரர் 25 வயதிற்கு மேற்பட்டவராக இருக்க வேண்டும், மேலும் அவர் மற்றும் குழந்தை இடையே குறைந்தது 21 வயது வித்தியாசம் இருக்க வேண்டும்."
3,தத்தெடுக்கப்பட்ட ஒரு குழந்தையின் பிறப்பை பதிவு செய்ய எந்த ஆவணங்கள் தேவைப்படுகிறது?,"விண்ணப்பம் (B149), பெற்றோரின் திருமணச் சான்றிதழ், பெற்றோரின் பிறப்புச் சான்றிதழ்கள் மற்றும் குழந்தையின் முந்தைய பிறப்புச் சான்றிதழ் அல்லது பதிவு செய்யப்படவில்லை என்றால் காலியான பதிவேட்டுப் பதிவேடு தேவைப்படுகிறது."
4,பதிவுசெய்யப்பட்ட தோட்டத்தில் பிறந்த குழந்தையின் பிறப்பை யாரால் அறிவிக்கலாம்?,"தந்தை, தாய், குழந்தை பிறந்த போது அருகில் இருந்த தந்தை, தாய், குழந்தை பிறக்கும் போது உடனிருந்த நபர்கள், பாதுகாவலர்கள் ஆகியோர் பிறப்பை அறிவிக்க தகுதியானவர்கள்."
5,தோட்ட மேலாளர் மூலம் பதிவு செய்யப்பட்ட பிறப்புச் சான்றிதழ் எங்கு பெறலாம்?,"பிறப்பை பதிவு செய்த பிறகு, பிறப்புச் சான்றிதழ் சம்பந்தப்பட்ட தோட்ட மேலாளரிடம் அனுப்பப்படும், அதனை தெரிவிப்பவர் இலவசமாக பெற்றுக்கொள்ளலாம்."
6,இலங்கையில் வெளிநாட்டில் பிறந்த குழந்தையின் பிறப்பை பிந்தைய பதிவு செய்வதற்கான தேவையான ஆவணங்கள் என்ன?,"முழுமையாக நிரப்பிய அறிவிப்பு, பிறந்த நாட்டின் பிறப்புச் சான்றிதழ் அல்லது மருத்துவமனை அறிக்கை, பெற்றோரின் திருமணச் சான்றிதழ்கள் மற்றும் பிறப்புச் சான்றிதழ்கள், தாயின் பாஸ்போர்ட் மற்றும் விசா, வெளிநாட்டு குடியுரிமை சான்றிதழ்கள் உள்ளிட்ட ஆவணங்கள் தேவைப்படுகிறது."
7,பிறப்புச் சான்றிதழ் நகலை எங்கு பெற்றுக்கொள்ளலாம்?,"பிறப்பு நடைபெற்ற பிரிவுக்குட்பட்ட பிராந்தியச் செயலகத்திலிருந்து அல்லது அது மின்னணு பதிவுச் சிஸ்டமில் உள்ளதென உறுதி செய்யப்பட்டால் எந்தவொரு நெருக்கமான பிராந்தியச் செயலகத்திலிருந்தும் பெறலாம்."
8,பிறப்புச் சான்றிதழின் எண்ணும் பதிவு தேதியும் தெரியாமல் நகலைப் பெற விரும்பினால் கட்டணம் எவ்வளவு?,"பதிவு தேதியும் சான்றிதழ் எண்ணும் தெரியவில்லை என்றால், ஆவணங்களை தேட வேண்டியதால், ஒரு நகலுக்கான கட்டணம் ரூ.250.00 ஆகும்."
9,தபாலில் பிறப்புச் சான்றிதழ் பெற விரும்பும் போது என்னென்ன சமர்ப்பிக்க வேண்டும்?,"தனது முகவரியுடன் குறியிடப்பட்ட முத்திரையிட்ட உறை, விண்ணப்பம் மற்றும் கட்டணம் செலுத்திய ரசீது ஆகியவை சமர்ப்பிக்க வேண்டும்."
10,பிறப்புச் சான்றிதழின் மொழிபெயர்க்கப்பட்ட நகலை எங்கே பெற முடியும்?,"மொழிபெயர்ப்பு சேவை வழங்கப்படும் பிராந்திய அலுவலகங்களிலிருந்து அல்லது இணையதளத்தில் உள்ள தகவல்களின் அடிப்படையில் பெறலாம். மொழிபெயர்ப்புகள்: தமிழ்-ஆங்கிலம், ஆங்கிலம்-தமிழ், சிங்களம்-ஆங்கிலம், ஆங்கிலம்-சிங்களம்."
11,பிறப்புச் சான்றிதழின் மொழிபெயர்க்கப்பட்ட நகலுக்கான கட்டணமும் காலப்பொருத்தமும் என்ன?,"ஒரு மொழிபெயர்க்கப்பட்ட நகலுக்கு ரூ.600.00 கட்டணம் விதிக்கப்படுகிறது மற்றும் அதனைப் பெற 5 வேலை நாட்கள் ஆகும். ஒரே நாளில் சேவை வழங்கப்படுவதில்லை."
12,பிறப்பு வீட்டில் நிகழ்ந்தால் அந்த பிறப்பை எவ்வாறு பதிவு செய்ய வேண்டும்?,"பிறப்பு நடந்தவுடன் 7 நாட்களுக்குள் அந்த பிறப்பை கிராம நாயகருக்கு அறிவிக்க வேண்டும். பிறப்பு நிகழ்ந்த இடம் தொடர்பான பிறப்பு மற்றும் மரண பதிவு அலுவலகத்தில் பிறப்பு பதிவு செய்யப்படுகிறது."
13,பிறப்பு பதிவு செய்ய தேவையான ஆவணங்கள் என்னென்ன?,"பூரணமாக நிரப்பிய பதிவு படிவம் CR01, பெற்றோரின் திருமணச் சான்றிதழின் புகைப்பட நகல், பெற்றோரின் பிறப்பு சான்றிதழ்களின் புகைப்பட நகல்கள், தேசிய அடையாள அட்டை ஆகியவற்றை சமர்ப்பிக்க வேண்டும்."
14,பிறப்பு 3 மாதத்திற்கு பின் பதிவு செய்ய முடியுமா?,"பிறப்பு 3 மாதத்திற்குப் பிறகு பதிவு செய்யலாம், ஆனால் அந்தப் பிறப்பு கடந்த பிறப்பு பதிவு சான்று மூலம் பதிவு செய்யப்பட வேண்டும்."
15,கடந்த பிறப்பு பதிவு செய்ய தேவையான ஆவணங்கள் என்னென்ன?,"பெற்றோர் திருமணம் செய்தால், திருமணச் சான்றிதழின் சான்றொட்டியுடன், பிறப்பு மற்றும் பிறப்பு இடத்தை உறுதிப்படுத்தும் ஆவணங்கள் (பொது சுகாதார மனைவி சான்றிதழ், கிறிஸ்துமஸ் சான்றிதழ், பள்ளி உபசரசை பதிவு ஆகியவற்றின் புகைப்பட நகல்கள்) சமர்ப்பிக்க வேண்டும்."
